Filnavn: kejseren.txt
4 vanished
4 run
4 they'd
4 chance
4 ordered
4 at
4 answered
4 outside
4 yer
4 honour
4 sounds
4 hearing
4 bill's
4 fellow
4 thank
4 doubt
4 crowd
4 held
4 guinea-pigs
4 plan
4 difficulty
4 stick
4 grass
4 myself
4 perfectly
4 none
4 questions
4 stuff
4 decidedly
4 thoughtfully
4 green
4 screamed
4 indignantly
4 taken
4 tree
4 sky
4 lives
4 otherwise
4 from
4 ground
4 dish
4 days
4 kitchen
4 jumping
4 hours
4 busily
4 beat
4 verse
4 creature
4 less
4 fast
4 very
4 crumbs
4 shoulder
4 twinkling
4 sigh
4 bottom
4 begins
4 m
4 rose-tree
4 arches
4 sobs
4 porpoise
4 beau--ootiful
4 jury-box
4 jurors
4 writing
4 officers
4 suppressed
4 verses
3 project
3 printed
3 sent
3 hour
3 weak
3 land
3 wild
3 bird
3 voices
3 sun
3 flowers
3 turtle's
3 plates
3 unusually
3 saucepan
3 flew
3 rose
3 flying
3 peeped
3 reading
3 considering
3 dark
3 filled
3 miles
3 somewhere
3 knowledge
3 grand
3 funny
3 listening
3 she'll
3 hope
3 mice
3 catch
3 bat
3 hurt
3 lost
3 corner
3 whiskers
3 longer
3 hanging
3 delight
3 telescope
3 out-of-the-way
3 impossible
3 hoping
3 rules
3 poison
3 certain
3 finding
3 candle
3 decided
3 possibly
3 legs
3 sharply
3 bring
3 fond
3 cake
3 smaller
3 holding
3 remained
3 expecting
3 dull
3 opening
3 dears
3 directions
3 love
3 same
3 pattering
3 muttering
3 timid
3 yesterday
3 sorts
3 doth
3 crossed
3 hoarse
3 gently
3 putting
3 rabbit's
3 guess
3 cause
3 worse
3 slipped
3 general
3 notion
3 show
3 fire
3 washing
3 dogs
3 throw
3 passion
3 shore
3 eaglet
3 fur
3 sulky
3 allow
3 crown
3 move
3 pressed
3 handed
3 gravely
3 speech
3 cheered
3 grave
3 solemn
3 noise
3 choked
3 whisper
3 sad
3 sighing
3 fury
3 met
3 attending
3 pleaded
3 easily
3 joined
3 pity
3 crab
3 particular
3 venture
3 carefully
3 remarking
3 suit
3 mentioned
3 guessed
3 hunting
3 mistake
3 plate
3 knocking
3 real
3 floor
3 effect
3 elbow
3 whatever
3 stopped
3 forgetting
3 em
3 master
3 kick
3 sense
3 cakes
3 paw
3 hungry
3 picked
3 edge
3 immediately
3 folded
3 because
3 confusing
3 brought
3 remarks
3 pray
3 free
3 except
3 shaking
3 succeeded
3 serpents
3 girls
3 tasted
3 settled
3 pieces
3 nibbling
3 bringing
3 livery
3 considered
3 loudly
3 letter
3 order
3 staring
3 howling
3 instance
3 repeating
3 he's
3 nursing
3 courage
3 grinned
3 can
3 growl
3 faster
3 advantage
3 just
3 tossing
3 caught
3 proper
3 sobbing
3 where
3 instead
3 have
3 any
3 civil
3 fun
3 breathe
3 butter
3 o'clock
3 cautiously
3 music
3 fly
3 lady
3 lived
3 were
3 upset
3 roses
3 beheaded
3 watching
3 checked
3 eager
3 guests
3 cards
3 needn't
3 unfortunate
3 hush
3 hedgehogs
3 tucked
3 turns
3 alive
3 friend
3 anxious
3 tortoise
3 week
3 advance
3 figure
3 toes
3 mark
3 snail
3 tails
3 mouths
3 obliged
3 fish
3 around
3 owl
3 panther
3 e--e--evening
3 trial's
3 trumpet
3 spectacles
3 verdict
3 teacup
3 wrote
3 fit
2 gutenberg's
2 lewis
2 carroll
2 austin
2 dobson
2 england
2 years
2 magic
2 save
2 truth
2 beneath
2 dreamy
2 feather
2 beast
2 faintly
2 by
2 happy
2 thus
2 grew
2 setting
2 page
2 ii
2 iii
2 iv
2 sends
2 v
2 vi
2 vii
2 viii
2 ix
2 x
2 xi
2 xii
2 bank
2 conversations
2 pleasure
2 picking
2 remarkable
2 afterwards
2 occurred
2 waistcoat-pocket
2 started
2 hedge
2 straight
2 dipped
2 falling
2 plenty
2 cupboards
2 jar
2 underneath
2 after
2 tumbling
2 thousand
2 learnt
2 showing
2 latitude
2 longitude
2 presently
2 downwards
2 dinah'll
2 tea-time
2 earnestly
2 thump
2 wind
2 row
2 doors
2 three-legged
2 locks
2 longed
2 cool
2 fountains
2 shutting
2 tied
2 label
2 beautifully
2 wise
2 beasts
2 unpleasant
2 friends
2 burn
2 knife
2 usually
2 sooner
2 had
2 mixed
2 brightened
2 lovely
2 further
2 crying
2 playing
2 forgot
2 sending
2 presents
2 struck
2 ashamed
2 trotting
2 ringlets
2 knows
2 and--oh
2 six
2 london
2 paris
2 lap
2 neatly
2 claws
2 smiling
2 jaws
2 rapidly
2 narrow
2 declare
2 bad
2 salt
2 railway
2 conclusion
2 wherever
2 splashing
2 o
2 swimming
2 wink
2 daresay
2 conqueror
2 clear
2 ago
2 ma
2 fright
2 feelings
2 quiet
2 purring
2 nicely
2 catching
2 dog
2 brown
2 dinner
2 them--and
2 belongs
2 useful
2 sorrowful
2 assembled
2 wet
2 older
2 knowing
2 authority
2 ring
2 whose
2 edwin
2 morcar
2 earls
2 mercia
2 northumbria
2 ugh
2 proceed
2 archbishop
2 advisable
2 frog
2 hurriedly
2 meet
2 offer
2 smile
2 easy
2 race
2 forehead
2 position
2 comfits
2 luckily
2 absurd
2 simply
2 caused
2 law
2 ing
2 humbly
2 bend
2 knot
2 she'd
2 sensation
2 throat
2 lonely
2 footsteps
2 ferrets
2 nowhere
2 quick
2 am
2 messages
2 directly
2 nurse
2 ordering
2 drunk
2 stoop
2 curled
2 unhappy
2 fancied
2 trembled
